

・BGM_01		konekonoosanpo.mp3			ノベルほのぼのシーン
・BGM_02		audiostock_215419.mp3			調合テーマ　アトリエメインテーマ１　英国風
・BGM_03		audiostock_227319.mp3			近くの森のBGM
・BGM_04		audiostock_251363.mp3			ショップのBGM
・BGM_05		audiostock_805672_sample		アマクサ登場BGM1 ドタバタ
・BGM_06		audiostock_328315			アマクサ登場BGM2
・BGM_07		audiostock_196574			ステージ２BGM
・BGM_08		audiostock_209981			ステージ３BGM
・BGM_09		audiostock_300247			夢の中の曲（環境音）
・BGM_10		nohohonkissa.mp3			牧場のBGM
・BGM_11		audiostock_259681			広場のBGM
・BGM_12		audiostock_199708			ひまわり畑のBGM
・BGM_13		audiostock_459043			ストロベリーガーデンのBGM
・BGM_14		収穫祭					ベニエさんテーマBGM	(前の曲：candybouquet）
・BGM_15		audiostock_105777			コンテスト会場のBGM
・BGM_16		audiostock_815939			コンテストの日のメイン曲
・BGM_17		shichigatsunokomorebi			悲しいときに流れる曲１（ちょっとほのぼの）
・BGM_18		kurakunagaitunnel			不穏なBGM
・BGM_19		k5					悲しいときに流れる曲２（いかにも悲しい）
・BGM_20		boukyou					悲しいときに流れる曲３（悲しいのと少し安堵が混じる感じ）
・BGM_21		audiostock_49935			勇ましい行進曲　ドラムメイン
・BGM_22		n62					判定中の音楽
・BGM_23		audiostock_152817_sample		悲しいときに流れる曲４
・BGM_24		audiostock_158569			ED前の曲
・BGM_25		audiostock_12186			ラベンダー畑のBGM
・BGM_26		のっそりと気だるい感じ			コンテストのメンバー集合　ゆるっとした感じ
・BGM_27		yume					物語の核心に近い曲
・BGM_28		audiostock_64137			きらきらぽんぽのロマンチックなBGM
・BGM_29		audiostock_12050			【宴で使用】思い出話の音楽
・BGM_30		05_kazetotomoni				ED曲
・BGM_31		PerituneMaterial_Holiday4_loop		【宴で使用】どっこいステーキのBGM
・BGM_32		audiostock_824733			月夜の曲３
・BGM_33		audiostock_158582			バードサンクチュアリイメージの静かなピアノ曲
・BGM_34		audiostock_371284_sample		【未使用】削除
・BGM_35		audiostock_134515			クッキングの曲　ピアノ系の不思議なクッキングBGM
・BGM_36		audiostock_120586			エメラルショップの曲
・BGM_37		audiostock_78487			調合テーマ２　アトリエメインテーマ２　楽しい音楽
・BGM_38		audiostock_61835			調合テーマ３　アトリエメインテーマ３　おフランス
・BGM_39		audiostock_227194_sample		ショップBGMテーマ２　イタリアとかヨーロッパのカフェ風
・BGM_40		audiostock_894571			【宴用】楽しげなBGM
・BGM_41		audiostock_152403			井戸BGM
